Date,AAPL,ADBE,AMZN,CRM,GOOGL,INTC,META,MSFT,NVDA,ORCL
2021-03-15,120.76571655273438,447.5899963378906,154.08399963378906,210.24546813964844,101.87997436523438,58.01781463623047,271.85101318359375,225.31417846679688,13.15808391571045,63.249427795410156
2021-03-16,122.30461120605469,450.5400085449219,154.59300231933594,211.90528869628906,103.34038543701172,58.91822814941406,277.3426513671875,228.09690856933594,13.25783634185791,62.4276237487793
2021-03-17,121.51570892333984,451.010009765625,156.7864990234375,210.56163024902344,103.257568359375,59.82773971557617,282.03985595703125,227.45399475097656,13.307707786560059,61.83930587768555
2021-03-18,117.39568328857422,439.17999267578125,151.39950561523438,206.96531677246094,100.23854064941406,57.96324157714844,276.6872253417969,221.3896026611328,12.69051456451416,62.32489013671875
2021-03-19,116.86972045898438,441.5,153.7480010986328,209.6526641845703,100.51721954345703,57.99052429199219,288.0975341796875,221.0345458984375,12.81345272064209,61.87665939331055
2021-03-22,120.18132781982422,452.4100036621094,155.5435028076172,212.58702087402344,100.70220184326172,59.691314697265625,291.5037841796875,226.4464569091797,13.15310001373291,61.93268585205078
2021-03-23,119.3534164428711,460.20001220703125,156.875,212.41903686523438,101.22982788085938,57.73585510253906,288.61395263671875,227.97216796875,13.037890434265137,62.819828033447266
2021-03-24,116.96712493896484,451.510009765625,154.35350036621094,207.01470947265625,100.79344177246094,56.4261589050293,280.1828308105469,225.93789672851562,12.611213684082031,62.4089469909668
2021-03-25,117.45410919189453,450.989990234375,152.31300354003906,202.97381591796875,100.78997802734375,56.40797424316406,276.806396484375,222.94406127929688,12.50373649597168,64.08985137939453
2021-03-26,118.05801391601562,469.0899963378906,152.60150146484375,206.5800018310547,100.4066390991211,59.00008773803711,281.0567321777344,226.91665649414062,12.806973457336426,65.60269927978516
2021-03-29,118.23330688476562,469.32000732421875,153.7864990234375,208.2398223876953,101.45099639892578,58.6635627746582,288.8026123046875,225.72683715820312,12.915698051452637,66.42448425292969
2021-03-30,116.78207397460938,465.4599914550781,152.76449584960938,207.47909545898438,101.48473358154297,57.9996223449707,286.002197265625,222.47389221191406,12.83938980102539,65.88285827636719
2021-03-31,118.97356414794922,475.3699951171875,154.70399475097656,209.32664489746094,102.28063201904297,58.20880889892578,292.4869079589844,226.23536682128906,13.314693450927734,65.52799987792969
2021-04-01,119.80143737792969,483.3399963378906,158.0500030517578,216.09439086914062,105.61608123779297,58.70904541015625,296.5882568359375,232.5492706298828,13.777027130126953,67.05950164794922
2021-04-05,122.62602996826172,491.6199951171875,161.3365020751953,217.6455535888672,110.03852844238281,60.518978118896484,306.7671203613281,238.99754333496094,13.952335357666016,69.25404357910156
2021-04-06,122.92796325683594,491.3399963378906,161.1909942626953,218.43594360351562,109.55751037597656,59.627647399902344,304.13555908203125,237.83642578125,13.826652526855469,69.3661117553711
2021-04-07,124.57402038574219,493.4100036621094,163.96949768066406,218.1395263671875,111.0338134765625,60.255210876464844,310.91815185546875,239.79396057128906,14.107940673828125,69.46927642822266
2021-04-08,126.97006225585938,499.8399963378906,164.96499633789062,221.755615234375,111.59912872314453,60.982826232910156,310.8486022949219,243.0084686279297,14.281005859375,70.60413360595703
2021-04-09,129.54144287109375,504.0400085449219,168.61000061035156,228.5036163330078,112.60284423828125,62.08333969116211,310.29248046875,245.50331115722656,14.363798141479492,70.88549041748047
2021-04-12,127.82718658447266,506.0299987792969,168.96949768066406,226.01385498046875,111.31102752685547,59.49123001098633,309.37890625,245.5608673095703,15.170762062072754,71.39193725585938
2021-04-13,130.9342041015625,514.8599853515625,170.0,229.21498107910156,111.7974853515625,59.31841278076172,307.61126708984375,248.03659057617188,15.640080451965332,71.90778350830078
2021-04-14,128.5966033935547,510.6300048828125,166.64999389648438,225.2827606201172,111.17662811279297,58.38161849975586,300.7193603515625,245.25381469726562,15.238592147827148,72.0484619140625
2021-04-15,131.00242614746094,523.25,168.95449829101562,230.20297241210938,113.32585906982422,59.136512756347656,305.6846923828125,249.0056915283203,16.096681594848633,73.42716217041016
2021-04-16,130.67127990722656,525.0800170898438,169.9720001220703,229.12606811523438,113.20189666748047,58.89094161987305,304.05609130859375,250.195556640625,15.87249755859375,74.04618072509766
2021-04-19,131.33355712890625,516.1699829101562,168.60049438476562,227.7329864501953,113.54949951171875,57.872291564941406,300.14337158203125,248.2764434814453,15.323128700256348,73.85857391357422
2021-04-20,129.64859008789062,514.2100219726562,166.7344970703125,225.2234649658203,113.01642608642578,57.02644348144531,300.550537109375,247.8158721923828,15.133109092712402,74.31816101074219
2021-04-21,130.0283966064453,512.3400268554688,168.1009979248047,227.79225158691406,112.98369598388672,57.93596267700195,299.37872314453125,250.0419921875,15.321882247924805,71.8984146118164
2021-04-22,128.50897216796875,507.2900085449219,165.45199584960938,228.57278442382812,111.7027587890625,56.908203125,294.46307373046875,246.76992797851562,14.812915802001953,70.2195816040039
2021-04-23,130.8271026611328,515.8400268554688,167.04400634765625,230.7068328857422,114.05384826660156,53.87953567504883,299.0411071777344,250.5889892578125,15.226871490478516,70.3133773803711
2021-04-26,131.21669006347656,515.7000122070312,170.4499969482422,232.63343811035156,114.54975128173828,53.44296646118164,300.9378967285156,250.9727783203125,15.4390869140625,69.87256622314453
2021-04-27,130.89527893066406,517.3200073242188,170.8715057373047,231.39846801757812,113.61001586914062,52.72445297241211,301.46417236328125,251.3758544921875,15.343079566955566,70.54784393310547
2021-04-28,130.10630798339844,515.47998046875,172.9250030517578,234.03640747070312,116.98512268066406,52.40611267089844,304.9697265625,244.2655029296875,15.238341331481934,70.12580108642578
2021-04-29,130.00889587402344,516.0900268554688,173.5655059814453,231.54664611816406,118.65730285644531,53.00640106201172,327.2242431640625,242.29835510253906,15.286221504211426,71.15748596191406
2021-04-30,128.04148864746094,508.3399963378906,173.37100219726562,227.55516052246094,116.71039581298828,52.324256896972656,322.8249206542969,241.9817352294922,14.971761703491211,71.08245849609375
2021-05-03,129.09335327148438,503.4599914550781,169.32449340820312,221.07388305664062,116.19366455078125,52.078704833984375,320.3423156738281,241.67471313476562,14.799450874328613,72.52680206298828
2021-05-04,124.52532958984375,490.70001220703125,165.593505859375,214.5728759765625,114.3960189819336,51.75127029418945,316.15155029296875,237.76925659179688,14.315168380737305,73.65225219726562
2021-05-05,124.76882934570312,486.69000244140625,163.52699279785156,212.81427001953125,114.7897720336914,51.70579147338867,312.834716796875,236.50265502929688,14.422148704528809,74.2712631225586
2021-05-06,126.36616516113281,483.6099853515625,165.31849670410156,215.43246459960938,115.90951538085938,52.335391998291016,317.8000183105469,239.6308135986328,14.48648738861084,74.78707122802734
